"POLDA_ID","POLDA_NAMA"
1.00,"NAD"
2.00,"SUMATERA UTARA"
3.00,"SUMATERA BARAT"
4.00,"RIAU"
5.00,"KALIMANTAN BARAT"
6.00,"SUMATERA SELATAN"
7.00,"LAMPUNG"
8.00,"BENGKULU"
9.00,"JAMBI"
10.00,"METRO JAYA"
11.00,"JAWA BARAT"
12.00,"JAWA TENGAH"
13.00,"D.I. YOGYAKARTA"
14.00,"JAWA TIMUR"
15.00,"BALI"
16.00,"N.T.B"
17.00,"N.T.T"
18.00,"KALIMANTAN TIMUR"
19.00,"KALIMANTAN SELATAN"
20.00,"KALIMANTAN TENGAH"
21.00,"SULAWESI SELATAN"
22.00,"SULAWESI TENGGARA"
23.00,"SULAWESI UTARA"
24.00,"SULAWESI TENGAH"
25.00,"MALUKU"
26.00,"PAPUA"
27.00,"BANTEN"
28.00,"BANGKA BELITUNG"
29.00,"GORONTALO"
30.00,"MALUKU UTARA"
31.00,"KEPULAUAN RIAU"
